0.00.025.129 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.025.361 W srv  llama_server: -----------------
0.00.025.362 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.025.362 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.025.363 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.025.363 W srv  llama_server: -----------------
0.00.026.859 I srv    load_model: loading model '/Users/<user>/HermesProjects/Local-LLM-Lab/results/raw/EXP-020-bonsai2/models/Ternary-Bonsai-2-27B-PTQ1_0.gguf'
0.01.058.236 I cmn          init: llama threadpool init, n_threads = 4
0.02.279.383 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.02.286.647 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.02.286.669 I srv  llama_server: model loaded
0.02.286.673 I srv  llama_server: listening on http://127.0.0.1:8920
0.28.447.489 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.28.447.552 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.31.459.695 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =    170, progress = 0.01, t =   3.01 s / 56.44 tokens per second
0.34.470.033 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =    298, progress = 0.01, t =   6.02 s / 49.48 tokens per second
0.37.482.678 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =    426, progress = 0.01, t =   9.04 s / 47.15 tokens per second
0.40.489.558 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =    554, progress = 0.02, t =  12.04 s / 46.01 tokens per second
0.43.504.740 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =    682, progress = 0.02, t =  15.06 s / 45.29 tokens per second
0.46.528.069 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =    810, progress = 0.03, t =  18.08 s / 44.80 tokens per second
0.49.549.771 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =    938, progress = 0.03, t =  21.10 s / 44.45 tokens per second
0.52.576.642 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1066, progress = 0.04, t =  24.13 s / 44.18 tokens per second
0.55.607.744 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1194, progress = 0.04, t =  27.16 s / 43.96 tokens per second
0.58.641.413 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1322, progress = 0.04, t =  30.19 s / 43.78 tokens per second
1.01.676.685 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1450, progress = 0.05, t =  33.23 s / 43.64 tokens per second
1.04.723.677 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1578, progress = 0.05, t =  36.28 s / 43.50 tokens per second
1.07.768.609 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1706, progress = 0.06, t =  39.32 s / 43.39 tokens per second
1.10.824.511 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1834, progress = 0.06, t =  42.38 s / 43.28 tokens per second
1.13.883.044 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1962, progress = 0.07, t =  45.44 s / 43.18 tokens per second
1.16.939.142 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2090, progress = 0.07, t =  48.49 s / 43.10 tokens per second
1.20.000.810 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2218, progress = 0.07, t =  51.55 s / 43.02 tokens per second
1.23.069.160 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2346, progress = 0.08, t =  54.62 s / 42.95 tokens per second
